book_name,chapter,verse,potential_difference_verse,text,,,
1 Chronicles,1,4,True,"Noe: the sons of Noe, Sem, Cham, Japheth.",,,
1 Chronicles,1,5,True,"The sons of Japheth, Gamer, Magog, Madaim, Jovan, Helisa, Thobel, Mosoch, and Thiras.",,,
1 Chronicles,1,10,True,And Chus begot Nebrod: he began to be a mighty hunter on the earth.,,,
1 Chronicles,1,11,True,,,,
1 Chronicles,1,12,True,,,,
1 Chronicles,1,13,True,,,,
1 Chronicles,1,14,True,,,,
1 Chronicles,1,15,True,,,,
1 Chronicles,1,16,True,,,,
1 Chronicles,1,17,True,"The sons of Sem, Ælam, and Assur,",,,
1 Chronicles,1,18,True,,,,
1 Chronicles,1,19,True,,,,
1 Chronicles,1,20,True,,,,
1 Chronicles,1,21,True,,,,
1 Chronicles,1,22,True,,,,
1 Chronicles,1,23,True,,,,
1 Chronicles,1,24,True,"and Arphaxad, Sala,",,,
1 Chronicles,1,27,True,Abraam.,,,
1 Chronicles,1,32,True,"And the sons of Chettura Abraam's concubine:—and she bore him Zembram, Jexan, Madiam, Madam, Sobac, Soe: and the sons of Jexan; Dædan, and Sabai;",,,
1 Chronicles,1,43,True,"And these are their kings, Balac the son of Beor; and the name of his city was Dennaba.",,,
1 Chronicles,1,44,True,"And Balac died, and Jobab the son of Zara of Bosorrha reigned in his stead.",,,
1 Chronicles,1,46,True,"And Asom died, and Adad the son of Barad reigned in his stead, who smote Madiam in the plain of Moab: and the name of his city was Gethaim.",,,
1 Chronicles,1,50,True,"And Balaennor died, and Adad son of Barad reigned in his stead; and the name of his city was Phogor.",,,
1 Chronicles,2,1,True,These are the names of the sons of Israel,,,
1 Chronicles,2,10,True,"And Aram begot Aminadab, and Aminadab begot Naasson, chief of the house of Juda.",,,
1 Chronicles,2,22,True,"And Seruch begot Jair, and he had twenty-three cities in Galaad.",,,
1 Chronicles,2,24,True,"And after the death of Esron, Chaleb came to Ephratha; and the wife of Esron was Abia; and she bore him Ascho the father of Thecoe.",,,
1 Chronicles,2,25,True,"And the sons of Jerameel the first-born of Esron were , the first-born Ram, and Banaa, and Aram, and Asan his brother.",,,
1 Chronicles,2,31,True,"And the sons of Apphain, Isemiel; and the sons of Isemiel, Sosan; and the sons of Sosan, Dadai.",,,
1 Chronicles,2,33,True,"And the sons of Jonathan; Phaleth, and Hozam. These were the sons of Jerameel.",,,
1 Chronicles,2,34,True,"And Sosan had no sons, but daughters. And Sosan had an Egyptian servant, and his name was Jochel.",,,
1 Chronicles,2,35,True,And Sosan gave his daughter to Jochel his servant to wife, and she bore him Ethi.,,
1 Chronicles,2,46,True,"And Gæpha the concubine of Chaleb bore Aram, and Mosa, and Gezue.",,,
1 Chronicles,2,53,True,"and Umasphaë, cities of Jair; Æthalim, and Miphithim, and Hesamathim, and Hemasaraim; from these went forth the Sarathæans, and the sons of Esthaam.",,,
1 Chronicles,2,55,True,"The families of the scribes dwelling in Jabis; Thargathiim, and Samathiim, and Sochathim, these are the Kinæans that came of Hemath, the father of the house of Rechab.",,,
1 Chronicles,3,18,True,"Melchiram, and Phadaias, and Sanesar, and Jekimia, and Hosamath, and Nabadias.",,,
1 Chronicles,3,21,True,"And the sons of Anania, Phalettia, and Jesias his son, Raphal his son, Orna his son, Abdia his son, Sechenias his son.",,,
1 Chronicles,3,23,True,"And the sons of Noadia: Elithenan, and Ezekia, and Ezricam, three.",,,
1 Chronicles,3,24,True,"And the sons of Elithenan; Odolia, and Heliasebon, and Phadaia, and Akub, and Joanan, and Dalaaïa, and Anan, seven.",,,
1 Chronicles,4,3,True,"And these are the sons of Ætam; Jezrael and Jesman, and Jebdas: and their sister's name was Eselebbon.",,,
1 Chronicles,4,5,True,"And Asur the father of Thecoe had two wives, Aoda and Thoada.",,,
1 Chronicles,4,6,True,"And Aoda bore to him Ochaia, and Ephal, and Thæman, and Aasther: all these were the sons of Aoda.",,,
1 Chronicles,4,7,True,"And the sons of Thoada; Sereth, and Saar, and Esthanam.",,,
1 Chronicles,4,8,True,"And Coe begot Enob, and Sabatha, and the progeny of the brother of Rechab, the son of Jarin.",,,
1 Chronicles,4,9,True,"And Igabes was more famous than his brethren; and his mother called his name Igabes, saying, I have born as a sorrowful one.",,,
1 Chronicles,4,10,True,"And Igabes called on the God of Israel, saying, O that thou wouldest indeed bless me, and enlarge my coasts, and that thy hand might be with me, and that thou wouldest make me know that thou wilt not grieve me! And God granted him all that he asked.",,,
1 Chronicles,4,11,True,And Chaleb the father of Ascha begot Machir, he was the father of Assathon.,,
1 Chronicles,4,12,True,"He begot Bathraias, and Besseë, and Thæman the founder of the city of Naas the brother of Eselom the Kenezite: these were the men of Rechab.",,,
1 Chronicles,4,14,True,"And Manathi begot Gophera: and Saraia begot Jobab, the father of Ageaddair, for they were artificers.",,,
1 Chronicles,4,16,True,"And the sons of Aleel, Zib, and Zepha, and Thiria, and Eserel.",,,
1 Chronicles,4,17,True,"And the sons of Esri; Jether, Morad, and Apher, and Jamon: and Jether begot Maron, and Semei, and Jesba the father of Esthæmon.",,,
1 Chronicles,4,18,True,"And his wife, that is Adia, bore Jared the father of Gedor, and Aber the father of Sochon, and Chetiel the father of Zamon: and these are the sons of Betthia the daughter of Pharao, whom Mored took.",,,
1 Chronicles,4,19,True,"And the sons of the wife of Iduia the sister of Nachaim the father of Keila; Garmi, and Esthæmon the Nochathite.",,,
1 Chronicles,4,21,True,"The sons of Selom the son of Juda; Er the father of Lechab, and Laada the father of Marisa, and the offspring of the family of Ephrathabac belonging to the house of Esoba.",,,
1 Chronicles,4,22,True,"And Joakim, and the men of Chozeba, and Joas, and Saraph, who dwelt in Moab, and he changed their names to Abederin and Athukiim.",,,
1 Chronicles,4,23,True,"These are the potters who dwelt in Ataim and Gadira with the king: they grew strong in his kingdom, and dwelt there.",,,
1 Chronicles,4,26,True,"Amuel his son, Sabud his son, Zacchur his son, Semei his son.",,,
1 Chronicles,4,27,True,"Semei had sixteen sons, and six daughters; and his brethren had not many sons, neither did all their families multiply as the sons of Juda.",,,
1 Chronicles,4,28,True,"And they dwelt in Bersabee, and Molada, and in Esersual,",,,
1 Chronicles,4,31,True,"and in Bæthmarimoth, and Hemisuseosin, and the house of Baruseorim: these were their cities until the time of king David.",,,
1 Chronicles,4,33,True,"And all their villages were round about these cities, as far as Baal: this was their possession, and their distribution.",,,
1 Chronicles,4,35,True,"and Joel, and Jeu the son of Asabia, the son of Sarau, the son of Asiel;",,,
1 Chronicles,4,40,True,"And they found abundant and good pastures, and the land before them was wide, and there was peace and quietness; for there were some of the children of Cham who dwelt there before.",,,
1 Chronicles,5,1,True,"And the sons of Ruben the first-born of Israel (for he was the first-born; but because of his going up to his father's couch, his father gave his blessing to his son Joseph, even the son of Israel; and he was not reckoned as first-born;",,,
1 Chronicles,5,2,True,"for Judas was very mighty even among his brethren, and one was to be a ruler out of him: but the blessing was Joseph's).",,,
1 Chronicles,5,4,True,"The sons of Joel; Semei, and Banaia his son: and the sons of Gug the son of Semei.",,,
1 Chronicles,5,6,True,"his son Beël, whom Thagla-phallasar king of Assyria carried away captive: he is the chief of the Rubenites.",,,
1 Chronicles,5,8,True,"And Balec the son of Azuz, the son of Sama, the son of Joel: he dwelt in Aroer, and even to Naban, and Beelmasson.",,,
1 Chronicles,5,10,True,"And in the days of Saul they made war upon the sojourners in the land ; and they fell into their hands, all of them dwelling in their tents eastward of Galaad.",,,
1 Chronicles,5,11,True,The sons of Gad dwelt over against them in the land of Basan even to Sela.,,,
1 Chronicles,5,12,True,"Joel the first-born, and Sapham the second, and Janin the scribe in Basan.",,,
1 Chronicles,5,16,True,"They dwelt in Galaad, in Basan, and in their villages, and in all the country round about Saron to the border.",,,
1 Chronicles,5,20,True,"and they prevailed against them: and the Agaræans were given into their hands, they and all their tents: for they cried to God in the battle, and he hearkened to them, because they trusted on him.",,,
1 Chronicles,5,21,True,"And they took captive their store; five thousand camels, and two hundred and fifty thousand sheep, two thousand asses, and a hundred thousand men.",,,
1 Chronicles,5,23,True,"And the half-tribe of Manasse dwelt from Basan to Baal, Ermon, and Sanir, and to the mount Aërmon: and they increased in Libanus.",,,
1 Chronicles,5,26,True,"And the God of Israel stirred up the spirit of Phaloch king of Assyria, and the spirit of Thagla-phallasar king of Assyria, and carried away Ruben and Gaddi, and the half-tribe of Manasse, and brought them to Chaach, and Chabor, and to the river Gozan, until this day.",,,
1 Chronicles,5,27,True,"The sons of Levi: Gedson, Caath, and Merari.",,,
1 Chronicles,5,28,True,"And the sons of Caath; Ambram, and Issaar, Chebron, and Oziel.",,,
1 Chronicles,5,41,True,And Josadac went into captivity with Juda and Jerusalem under Nabuchodonosor.,,,
1 Chronicles,6,1,True,"The sons of Levi: Gedson, Caath, and Merari.",,,
1 Chronicles,6,6,True,"Joab his son, Addi his son, Zara his son, Jethri his son.",,,
1 Chronicles,6,11,True,"Helcana his son, Suphi his son, Cainaath his son;",,,
1 Chronicles,6,12,True,"Eliab his son, Jeroboam his son, Helcana his son.",,,
1 Chronicles,6,17,True,"And they ministered in front of the tabernacle of witness playing on instruments, until Solomon built the house of the Lord in Jerusalem; and they stood according to their order for their services.",,,
1 Chronicles,6,19,True,"the son of Helcana, the son of Jeroboam, the son of Eliel, the son of Thoas,",,,
1 Chronicles,6,28,True,"the son of Jeeth, the son of Gedson, the son of Levi.",,,
1 Chronicles,6,33,True,"And their brethren according to the houses of their fathers, were the Levites who were appointed to all the work of ministration of the tabernacle of the house of God.",,,
1 Chronicles,6,42,True,"And to the sons of Aaron they gave the cities of refuge, even Chebron, and Lobna and her suburbs round about, and Selna and her suburbs, and Esthamo and her suburbs,",,,
1 Chronicles,6,43,True,"and Jethar and her suburbs, and Dabir and her suburbs,",,,
1 Chronicles,6,44,True,"and Asan and her suburbs, and Bæthsamys and her suburbs:",,,
1 Chronicles,6,45,True,"and of the tribe of Benjamin Gabai and her suburbs, and Galemath and her suburbs, and Anathoth and her suburbs: all their cities were thirteen cities according to their families.",,,
1 Chronicles,6,46,True,"And to the sons of Caath that were left of their families, there were given out of the tribe, namely , out of the half-tribe of Manasse, by lot, ten cities.",,,
1 Chronicles,6,50,True,"And they gave by lot out of the tribe of the children of Juda, and out of the tribe of the children of Symeon, and out of the tribe of the children of Benjamin, these cities which they call by name.",,,
