volume,pagina,book,value
1,148,Jos,2:4
1,149,Jos,3:11
1,150,Jos,4:10
1,151,Jos,6:18
1,152,Jos,6:20
1,153,Jos,7:17
1,155,Jos,7:25
1,157,Jos,8:13
1,158,Jos,8:14
1,159,Jos,8:17
1,160,Jos,9:4
1,161,Jos,9:14
1,162,Jos,9:21
1,164,Jos,10:21
1,165,Jos,11:1
1,165,Jos,12:20
1,165,Jos,19:15
1,167,Jos,11:8
1,167,Jos,13:6
1,168,Jos,12:3
1,168,Jos,12:4
1,169,Jos,12:16
1,169,Jos,12:18
1,169,Jos,12:19
1,174,Jos,13:4
1,175,Jos,13:7
1,177,Jos,13:14
1,178,Jos,13:26
1,179,Jos,15:1
1,180,Jos,15:7
1,181,Jos,15:9
1,182,Jos,15:18
1,183,Jos,15:21
1,184,Jos,15:22
1,185,Jos,15:25
1,186,Jos,15:32
1,188,Jos,15:40
1,189,Jos,15:49
1,190,Jos,15:56
1,191,Jos,16:5
1,192,Jos,17:7
1,193,Jos,17:11
1,195,Jos,17:18
1,196,Jos,18:28
1,198,Jos,19:7
1,199,Jos,19:13
1,201,Jos,19:20
1,203,Jos,19:28
1,204,Jos,19:29
1,206,Jos,19:42
1,207,Jos,19:46
1,208,Jos,21:16
1,210,Jos,21:25
1,211,Jos,21:36
1,215,Jos,22:19
1,216,Jos,22:34
1,217,Jos,24:5
1,218,Jos,24:32
1,220,Jg,1:16
1,221,Jg,1:31
1,222,Jg,2:1
1,223,Jg,3:19
1,224,Jg,4:8
1,225,Jg,5:7
1,226,Jg,5:8
1,227,Jg,5:11
1,228,Jg,5:12
1,229,Jg,5:13
1,231,Jg,5:14
1,233,Jg,5:15
1,234,Jg,5:21
1,235,Jg,5:28
1,236,Jg,5:30
1,237,Jg,6:19
1,238,Jg,6:25
1,238,Jg,6:28
1,241,Jg,7:3
1,242,Jg,7:22
1,243,Jg,8:16
1,244,Jg,8:18
1,245,Jg,8:21
1,246,Jg,9:28
1,247,Jg,9:29
1,248,Jg,9:31
1,249,Jg,10:8
1,250,Jg,10:12
1,251,Jg,12:4
1,252,Jg,12:6
1,253,Jg,14:5
1,254,Jg,14:15
1,256,Jg,14:18
1,257,Jg,15:16
1,258,Jg,16:13
1,259,Jg,17:2
1,259,Jg,17:3
1,259,Jg,17:4
1,260,Jg,18:7
1,261,Jg,18:21
1,262,Jg,18:30
1,263,Jg,19:3
1,264,Jg,19:8
1,265,Jg,19:12
1,266,Jg,19:24
1,267,Jg,19:30
1,268,Jg,20:9
1,269,Jg,20:10
1,270,Jg,20:31
1,271,Jg,20:42
1,272,Jg,20:45
1,273,Jg,20:48
1,274,Jg,21:17
1,275,Jg,21:22
1,277,Rt,1:15
1,278,Rt,2:7
1,279,Rt,2:18
1,280,Rt,4:4
