volume,page,text,pagina
1,148.png,"Jos 2,4",148
1,149.png,"Jos 3,11",149
1,150.png,"Jos 4,10",150
1,151.png,"Jos 6,18",151
1,152.png,"Jos 6,20",152
1,153.png,Jos 7.17,153
1,154.png,"Jos 7,17",154
1,155.png,"Jos 7,25",155
1,156.png,"Jos 7,25",156
1,157.png,"Jos 8,13A",157
1,158.png,"Jos 8,14",158
1,159.png,"Jos 8,17",159
1,160.png,"Jos 9,4",160
1,161.png,"Jos 9,14",161
1,162.png,"Jos 9,21",162
1,163.png,"Jos 9,21",163
1,164.png,"Jos 10,21",164
1,165.png,"Jos 11,1",165
1,165.png,"Jos 12,20",165
1,165.png,"Jos 19,15",165
1,167.png,"Jos 11,8",167
1,167.png,"Jos 13,6",167
1,168.png,"Jos 12,3",168
1,168.png,"Jos 12,4",168
1,169.png,"Jos 12,16",169
1,169.png,"Jos 12,18",169
1,169.png,"Jos 12,19",169
1,169.png,"Jos 12,20",169
1,174.png,"Jos 13,4",174
1,175.png,"Jos 13,7s",175
1,176.png,"Jos 13,7s",176
1,177.png,"Jos 13,14",177
1,178.png,"Jos 13,26",178
1,179.png,"Jos 15,1",179
1,180.png,"Jos 15,7",180
1,181.png,"Jos 15,9/18,15",181
1,182.png,"Jos 15,18",182
1,183.png,"Jos 15,21",183
1,184.png,"Jos 15,22",184
1,185.png,"Jos 15,25",185
1,186.png,"Jos 15,32/19,7",186
1,187.png,"Jos 15,32/19,7",187
1,188.png,"Jos 15,40",188
1,189.png,"Jos 15,49",189
1,190.png,"Jos 15,56",190
1,191.png,"Jos 16,5/18,13",191
1,192.png,"Jos 17,7",192
1,193.png,"Jos 17,11",193
1,194.png,"Jos 17,11",194
1,195.png,"Jos 17,18",195
1,196.png,"Jos 18,28",196
1,197.png,"Jos 18,28",197
1,198.png,"Jos 19,7",198
1,199.png,"Jos 19,13/21,35",199
1,200.png,"Jos 19,13/21,35",200
1,201.png,"Jos 19,20",201
1,202.png,"Jos 19,20",202
1,203.png,"Jos 19,28",203
1,204.png,"Jos 19,29/19,30",204
1,205.png,"Jos 19,29/19,30",205
1,206.png,"Jos 19,42",206
1,207.png,"Jos 19,46",207
1,208.png,"Jos 21,16",208
1,209.png,"Jos 21,16",209
1,210.png,"Jos 21,25",210
1,211.png,"Jos 21,36A",211
1,212.png,"Jos 21,36A",212
1,213.png,"Jos 21,36A",213
1,214.png,"Jos 21,36C",214
1,215.png,"Jos 22,19",215
1,216.png,"Jos 22,34",216
1,217.png,"Jos 24,5",217
1,218.png,"Jos 24,32",218
1,220.png,"Jg 1,16B",220
1,221.png,"Jg 1,31",221
1,222.png,"Jg2,1",222
1,223.png,"Jg 3,19",223
1,224.png,"Jg 4,8",224
1,225.png,"Jg 5,7",225
1,226.png,"Jg 5,8",226
1,227.png,"Jg5,11",227
1,228.png,"Jg 5,12B",228
1,229.png,"Jg 5,13",229
1,230.png,"Jg 5,13",230
1,231.png,"Jg 5,14",231
1,232.png,"Jg 5,14",232
1,233.png,"Jg 5,15A",233
1,234.png,"Jg 5,21",234
1,235.png,"Jg 5,28",235
1,236.png,"Jg 5,30",236
1,237.png,"Jg 6,19",237
1,238.png,"Jg 6,25",238
1,238.png,"Jg 6,28",238
1,241.png,"Jg7,3",241
1,242.png,"Jg 7,22",242
1,243.png,"Jg 8,16",243
1,244.png,"Jg 8,18",244
1,245.png,"Jg 8,21",245
1,246.png,"Jg 9,28",246
1,247.png,"Jg 9,29",247
1,248.png,"Jg9,31A",248
1,249.png,"Jg 10,8",249
1,250.png,"Jg 10,12",250
1,251.png,"Jg 12,4",251
1,252.png,"Jg 12,6",252
1,253.png,"Jg 14,5",253
1,254.png,"Jg 14,15A",254
1,255.png,"Jg 14,15C",255
1,256.png,"Jg 14,18",256
1,257.png,"Jg 15,16",257
1,258.png,"Jg 16,13",258
1,259.png,"Jg 17,2",259
1,259.png,"Jg 17,3",259
1,259.png,"Jg 17,4",259
1,260.png,"Jg 18,7A",260
1,261.png,"Jg 18,21",261
1,262.png,"Jg 18,30",262
1,263.png,"Jg 19,3",263
1,264.png,"Jg 19,8B",264
1,265.png,"Jg 19,12",265
1,266.png,"Jg 19,24",266
1,267.png,"Jg 19,30",267
1,268.png,"Jg 20,9",268
1,269.png,"Jg 20,10B/20,33B",269
1,270.png,"Jg 20,31",270
1,271.png,"Jg 20,42",271
1,272.png,"Jg 20,45",272
1,273.png,"Jg 20,48",273
1,274.png,"Jg 21,17",274
1,275.png,"Jg 21,22",275
1,277.png,"Rt 1,15",277
1,278.png,"Rt 2,7",278
1,279.png,"Rt 2,18",279
1,280.png,"Rt 4,4",280
1,281.png,"Rt 4,5",281
1,282.png,"Rt 4,20s",282
1,284.png,"1$ 1,1",284
1,285.png,"1S 1,9",285
1,286.png,"1S 1,23",286
1,287.png,"1S 1,23",287
1,288.png,"1$ 1,24",288
1,289.png,"1S 1,24B",289
1,290.png,"1S 1,28",290
1,291.png,"1$ 2,8",291
1,292.png,"1S 2,20",292
1,293.png,"1S 2,22",293
1,294.png,"1S 2,29A",294
1,295.png,"1S 2,29B/2,32",295
1,296.png,"I S 2,33",296
1,297.png,"1$ 3,13",297
1,298.png,"1$ 3,21",298
1,298.png,"1$ 4,1",298
1,299.png,"1$ 4,13",299
1,300.png,"1S 5,6",300
1,301.png,"1S 6,18",301
1,302.png,"1S 6,19B",302
1,303.png,"1S 6,19C",303
1,304.png,"1$ 7,2",304
1,305.png,"1S 8,16",305
1,306.png,"1S 9,16",306
1,307.png,"1$ 9,24",307
1,308.png,"1S 9,25",308
1,309.png,"1S 10,1",309
1,310.png,"1S 10,13",310
1,311.png,"1S 10,19",311
1,312.png,"1S 10,22",312
1,313.png,"1S 10,27",313
1,314.png,"1S 10,27",314
1,315.png,"1S 10,27",315
1,316.png,"1S 10,27",316
1,317.png,"1S 10,27",317
1,318.png,"1S 10,27",318
1,319.png,"1$ 12,8",319
1,320.png,"1S 12,11A",320
1,321.png,"1S 12,15",321
1,322.png,"1S 13,1",322
1,323.png,"1S 13,3",323
1,324.png,"1S 13,5",324
1,325.png,"1S 13,6",325
1,326.png,"1S 13,15",326
1,327.png,"1S 13,20",327
1,328.png,"1S 13,21",328
1,329.png,"1S 14,7B",329
1,330.png,"1S 14,18C",330
1,331.png,"1S 14,21",331
1,332.png,"1S 14,34",332
1,333.png,"1$ 14,41",333
1,334.png,"1S 14,49",334
1,335.png,"1S 15,32",335
1,336.png,"1S 16,20",336
1,337.png,"1S 17,12",337
1,338.png,"1S 17,52",338
1,339.png,"1S 18,28",339
1,340.png,"1S 19,23",340
1,341.png,"1S 20,3",341
1,342.png,"~ 1S 20,5/20,12B",342
1,343.png,"1S 20,16",343
1,344.png,"1S 20,17",344
1,345.png,"1S 20,19A",345
1,346.png,"1S 20,25",346
1,347.png,"1S 20,30",347
1,348.png,"1S 20,36B",348
1,349.png,"1S 21,3(2)",349
1,350.png,"1S 21,7(6)",350
1,351.png,"1S 21,14(13)",351
1,352.png,"I S 22,3",352
1,353.png,"1$ 22,4",353
1,354.png,"1S 23,7",354
1,355.png,"1S 23,7",355
1,356.png,"1S 23,22",356
1,357.png,"1S 24,11(10)",357
1,358.png,"1S 25,6",358
1,359.png,"1S 25,11",359
1,360.png,"1S 26,14",360
1,361.png,"1$ 27,8",361
1,362.png,"1S 27,10",362
1,363.png,"1S 28,1",363
1,364.png,"1S 28,16",364
1,365.png,"1S 28,17",365
1,366.png,"1S 29,10",366
1,367.png,"1S 30,22",367
1,368.png,"1S 30,26",368
1,369.png,"1S 30,29",369
1,370.png,"1S 30,30",370
1,371.png,"1$ 31,9",371
1,373.png,"II S 1,21",373
1,374.png,"II S 1,21",374
1,375.png,"II S 2,8",375
1,376.png,"II S 2,12",376
1,377.png,"II S 2,13",377
1,378.png,"11S 3,7AB/4,2",378
1,379.png,"11S 3,7AB/4,2",379
1,380.png,"II S 3,12",380
1,381.png,"11$ 3,18",381
1,382.png,"Il S 3,25/4,12",382
1,383.png,"Il S 3,34",383
1,384.png,"II S 4,6",384
1,385.png,"II S 4,6",385
1,386.png,"11S 5,8B",386
1,387.png,"II S 5,16",387
1,388.png,"11S 5,23",388
1,389.png,"II S 6,5",389
1,390.png,"II S 6,7",390
1,391.png,"WS 7,7",391
1,392.png,"""WS 7,7",392
1,393.png,"II S 7,16",393
1,394.png,"11S 7,23",394
1,395.png,"11S 7,23D",395
1,396.png,"II S 8,7",396
1,397.png,"11S 8,10",397
1,398.png,"11S 8,12",398
1,398.png,"11S 8,13",398
1,399.png,"11S 8,17",399
1,400.png,"11S 9,10A",400
1,401.png,"11S 10,5",401
1,402.png,"II S 11,3",402
1,403.png,"II S 11,11",403
1,404.png,"WS 11,22",404
1,405.png,"II S 11,22",405
1,406.png,"11S 11,22",406
1,407.png,"11S 11,22",407
1,408.png,"II S 12,8",408
1,409.png,"WS 12,14",409
1,410.png,"11S 12,30",410
1,411.png,"II S 13,18",411
1,412.png,"It'S 13,27",412
1,413.png,"II S 13,34B",413
1,414.png,"WS 14,4",414
1,415.png,"II S 14,14",415
1,416.png,"WS 14,27",416
1,417.png,"II S 14,32",417
1,418.png,"II S 15,7",418
1,419.png,"WS 15,12",419
1,420.png,"11S 15,18B",420
1,421.png,"II S 15,24",421
