Gen.9.21#07=Q(K)	אָהֳלֽ/וֹ\׃	'o.ho.L/o	tent/ his	{H0168G}/H9023\H9016	HNcmsc/Sp3ms	K= 'o.ho.Lo/h (אָהֳלֹ/ה\׃) "tent/ his" (H0168G/H9023\H9016=HNcbsc/Sp3ms)	L= אָהֳלֹֽ/ה\׃ ¦ ;	H0168G			{H0168G=אֹ֫הֶל=: tent»tent:1_tent}/H9023=Ps3m=his\H9016=׃=verseEnd					
Gen.12.8#08=Q(K)	אָהְָל֑/וֹ	'o.ho.L/o	tent/ his	{H0168G}/H9023	HNcmsc/Sp3ms	K= 'o.ho.Lo/h (אָהֳלֹ/ה) "tent/ his" (H0168G/H9023=HNcbsc/Sp3ms)	L= אָהֳלֹ֑/ה ¦ ;	H0168G			{H0168G=אֹ֫הֶל=: tent»tent:1_tent}/H9023=Ps3m=his					
Gen.13.3#12=Q(K)	אָֽהֳל/וֹ֙	'o.ho.l/o	tent/ his	{H0168G}/H9023	HNcmsc/Sp3ms	K= 'o.ho.lo/h (אָהֳלֹ/ה) "tent/ his" (H0168G/H9023=HNcbsc/Sp3ms)	L= אָֽהֳלֹ/ה֙ ¦ ;	H0168G			{H0168G=אֹ֫הֶל=: tent»tent:1_tent}/H9023=Ps3m=his					
Gen.24.33#01=Q(K)	וַ/יּוּשַׂ֤ם	va/yu.sem	and/ it was put	H9001/{H7760H}	Hc/VHw3ms	K= va/i.yi.sem (וַ/יֻּישַׂ֤ם) "and/ it was put" (H9001/H3455=Hc/Vqw3ms)		H7760H	H3455		H9001=ו=&/{H7760H=שׂוּם=: put»to set:2_put;_give}					
Gen.27.3#11=Q(K)	צָֽיִד\׃	tzeid	wild game	{H6718A}\H9016	HNcmsa	K= tzei.dah (צֵידָה\׃) "food" (H6720\H9016=HNcbsa)	L= צָֽיִדה\׃ ¦ ;	H6718A	H6720		{H6718A=צַ֫יִד=wild game}\H9016=׃=verseEnd					
Gen.27.29#03=Q(K)	וְ/יִֽשְׁתַּחֲו֤וּ	ve./yish.ta.chu	and/ may they bow down	H9002/{H7812}	HC/Vvu3mp	K= ve./yish.ta.chu (וְ/יִשְׁתַּחוּ) "and/ may it bow down" (H9002/H7812=HC/Vvu3ms)	L= וְ/יִֽשְׁתַּחֲוֻ֤ ¦ ;	H7812_A			H9002=ו=and/{H7812=שָׁחָה=to bow}					
Gen.30.11#03=Q(K)	בָּ֣א//גָ֑ד	be.//gad	it has come//good fortune	{H0935G}//{H1409}	HVqp3ms//Ncmsa	K= be./gad (בְּ/גָד) "with/ good fortune" (H9003/H1409=HR/Ncfsa)	L= בָּ֣/גָ֑ד ¦ ;	H0935G, H1409			{H0935G=בּוֹא=: come»to come (in):1_come;_go_in}//{H1409=גָּד=fortune}					
Gen.35.21#04=Q(K)	אָֽהֳל֔/וֹ	'o.ho.L/o	tent/ his	{H0168G}/H9023	HNcmsc/Sp3ms	K= 'o.ho.Lo/h (אָהֳלֹ/ה) "tent/ his" (H0168G/H9023=HNcbsc/Sp3ms)	L= אָֽהֳלֹ֔/ה ¦ ;	H0168G			{H0168G=אֹ֫הֶל=: tent»tent:1_tent}/H9023=Ps3m=his					
Gen.36.5#04=Q(K)	יְע֥וּשׁ	ye'.ush	Jeush	{H3266G}	HNpm	K= ye'.ish (יְעִישׁ) "Jeish" (H3274=HNpm)	L= יְע֥יּשׁ ¦ ;	H3266G	H3274		{H3266G=יְעוּשׁ=Jeush»Jeush@Gen.36.5-1Ch}					
Gen.36.14#14=Q(K)	יְע֥וּשׁ	ye'.ush	Jeush	{H3266G}	HNpm	K= ye'.ish (יְעִישׁ) "Jeish" (H3274=HNpm)	L= יְע֥יּשׁ ¦ ;	H3266G	H3274		{H3266G=יְעוּשׁ=Jeush»Jeush@Gen.36.5-1Ch}					
Gen.39.20#11=Q(K)	אֲסִירֵ֥י	'a.su.rei	[the] prisoners of	{H0615}	HNcmpc	K= 'a.su.rei (אֲסוּרֵי) "[those] imprisoned of" (H0631=HVqsmpc)	L= אֲסִורֵ֥י ¦ ;	H0615	H0631_a		{H0615=אָסִיר=prisoner}					
