Isa.3.15#01=Q(K)	מַה/־/לָּ/כֶם֙	mah/-/la./khem	what/-/[is] to/ you?	{H4100}/H9014/H9005/H9046	HPi//R/Sp2mp	K= ma./la./khem (מַ/לָּ/כֶם) "what/ [is] to/ you?" (H4100/H9005/H9046=HPi/R/Sp2mp)	L= מַ/לָּ/כֶם֙ ¦ ;	H4100	H9006		{H4100=מָה=what?}/H9014=־=link/H9005=ל=to/H9046=Sp2m=you					
Isa.5.29#04=Q(K)	יִשְׁאַ֨ג	yi.sha.'ag	it will roar	{H7580}	HVqi3ms	K= ve./sha.'ag (וְ/שָׁאַג) "and/ it will roar" (H9001/H7580=Hc/Vqq3ms)	L= וִ/שְׁאַ֨ג ¦ ;	H7580			{H7580=שָׁאַג=to roar}					
Isa.9.3(9.2)#03=Q(K)	ל֖/וֹ	l/o	to/ it	H9005/{H9033}	HR/Sp3ms	K= lo' (לֹא) "not" (H3808=HTn)	L= לֹ֖א ¦ ;	H9033	H3808		H9005=ל=to/{H9033=Os3m=him}					
Isa.9.7(9.6)#01=Q(K)	לְ/מַרְבֵּ֨ה	le./mar.beh	to/ [the] increase of	H9005/{H4766}	HR/Ncmsc	K= le./mar.beh (לְ/םַרְבֵּה) "to/ [the] increase of" (H9005/H4766=HR/Ncbsc)	L= לְ/מַרְבֵּ֨ה ¦ ;	H4766			H9005=ל=to/{H4766=מַרְבֶה=abundance}					
Isa.10.13#12=Q(K)	וַ/עֲתוּדֽוֹתֵי/הֶם֙	va./'a.ti.do.tei./hem	and/ provisions/ their	H9002/{H6259}/H9028	HC/Ncfpc/Sp3mp	K= va./'a.ti.do.tei./hem (וַ/עֲתִידֹתֵי/הֶם) "and/ treasures/ their" (H9002/H6264/H9028=HC/Ncfpc/Sp3mp)	L= וַ/עֲתיּדֹֽתֵי/הֶם֙ ¦ ;	H6259	H6264		H9002=ו=and/{H6259=עָתוּד=ready}/H9028=Pp3m=their					
Isa.10.32#08=Q(K)	בַּת	beit-	[the] daughter of	{H1323G}	HNcfsc	K= beit- (בֵּית) "[the] house of" (H1004B=HNcbsc)	L= בַּית\־ ¦ ;	H1323G	H1004B		{H1323G=בַּת=: daughter»daughter:1_daughter}					
Isa.12.5#06=Q(K)	מוּדַ֥עַת	me.yu.da.'at	[is] made known	{H3045}	HVHsfsa	K= me.yu.da.'at (מְיֻדַּעַת) "[is] known" (H3045=HVPsfsa)	L= מיּדַ֥עַת ¦ ;	H3045			{H3045=יָדַע=to know}					
Isa.13.16#07=Q(K)	תִּשָּׁכַֽבְנָה\׃	ti.sha.khab.nah	they will be lain with	{H7901I}\H9016	HVNi3fp	K= ti.sha.gal.nah (תִּשָּׁגַלְנָה\׃) "they will be raped" (H7693\H9016=HVNi3fp)	L= תִּשָּׁגַֽלְנָה\׃ ¦ ;	H7901I	H7693		{H7901I=שָׁכַב=: have_sex»to lie down:3_have_sex}\H9016=׃=verseEnd					
Isa.16.3#01=Q(K)	הָבִ֤יאִי	ha.vi.'u	bring	{H0935P}	HVhv2fs	K= ha.vi.'u (הָבִיאוּ) "bring" (H0935P=HVhv2mp)	L= הָבִ֤יאִו ¦ ;	H0935P			{H0935P=בּוֹא=: bring»to come (in):2_bring;_take_in}					
Isa.25.10#12=Q(K)	בְּמ֥וֹ	be.mei	in	{H1119}	HR	K= be./mei (בְּ/מֵי) "in/ [the] water" (H9003/H4325G=HR/Ncmpc)	L= בְּ/מֹ֥י ¦ ;	H1119	H4325G		{H1119=בְּמוֹ=in|at|by}					
