Jos.2.13#09=Q(K)	אַחְיוֹתַ֔/י	'a.cho.ta/i	sisters/ my	{H0269}/H9020	HNcfpc/Sp1bs	K= 'a.cho.ta/i (אַחוֹתַ/י) "sister/ my" (H0269/H9020=HNcfsc/Sp1bs)	L= אַחְוֹתַ֔/י ¦ ;	H0269			{H0269=אָחוֹת=sister}/H9020=Ps1c=my					
Jos.3.16#10=Q(K)	מֵֽ/אָדָ֤ם	me./'a.dam	from/ Adam	H9006/{H0121H}	HR/Npl	K= va./'a.dam (בָ/אָדָם) "at/ <the> Adam" (H9003/H0121H=HRd/Npl)	L= בֵֽ/אָדָ֤ם ¦ ;	H0121H			H9006=מ=from/{H0121H=אָדָם=Adam»Adam@Jos.3.16}					
Jos.4.18#02=Q(K)	כַּ/עֲל֨וֹת	ka./'a.lot	just as/ came up	H9004/{H5927G}	HR/Vqcc	K= ba./'a.lot (בַּ/עֲלוֹת) "when/ came up" (H9003/H5927G=HR/Vqcc)	L= בַּ/עֲל֨וֹת ¦ ;	H5927G			H9004=כ=like/{H5927G=עָלָה=: rise»to ascend:1_rise;_go}					
Jos.5.1#27=Q(K)	עָבְרָ֑/ם	a.ve.ra./m	passing over/ they	{H5674A}/H9048	HVqcc/Sp3mp	K= a.ve.ra./nu (עָבְרָ/נוּ) "passing over/ we" (H5674A/H9045=HVqcc/Sp1bp)	L= עָבְרָ֑/נו ¦ ;	H5674A			{H5674A=עָבַר=: pass»to pass:1_pass}/H9048=Sp3m=they					
Jos.6.5#05=Q(K)	כְּ/שָׁמְעֲ/כֶם֙	ke./sha.me.'a./khem	just as/ hear/ you	H9004/{H8085G}/H9046	HR/Vqcc/Sp2mp	K= be./sha.me.'a./khem (בְּ/שָׁמְעֲ/כֶם) "when/ hear/ you" (H9003/H8085G/H9046=HR/Vqcc/Sp2mp)	L= בְּ/שָׁמְעֲ/כֶם֙ ¦ ;	H8085G			H9004=כ=like/{H8085G=שָׁמַע=: hear»to hear:1_hear}/H9046=Sp2m=you					
Jos.6.7#01=Q(K)	וַ/יֹּ֙אמֶר֙	va/i.yo.me.ru	and/ he said	H9001/{H0559}	Hc/Vqw3ms	K= va/i.yo.me.ru (וַ/יֹּאמְרוּ) "and/ they said" (H9001/H0559=Hc/Vqw3mp)	L= וַ/יֹּ֙אמֶר֙ו ¦ ;	H0559			H9001=ו=&/{H0559=אָמַר=to say}					
Jos.6.9#05=Q(K)	תֹּקְעֵ֖י	ta.ke.'u	[who] give a blast on	{H8628}	HVqrmpc	K= ta.ke.'u (תָּקְעוּ) "they gave a blast on" (H8628=HVqp3cp)	L= תֹּקְעֵ֖ו ¦ ;	H8628_A			{H8628=תָּקַע=to blow}					
Jos.6.13#22=Q(K)	הָל֖וֹךְ	ho.lekh	walking	{H1980L}	HVqaa	K= ho.lekh (הוֹלֵךְ) "walking" (H1980L=HVqrmsa)	L= הָולֹ֖ךְ ¦ ;	H1980L_e	, H3212_e		{H1980L=הָלַךְ=: continue»to go:6_continue;_will_be[future]}					
Jos.8.16#05=Q(K)	בָּ/עַ֔י	ba./'ir	[was] in <the>/ Ai	H9003/{H5857G}	HRd/Npl	K= ba./'ir (בָּ/עִיר) "[was] in the/ city" (H9003/H5892B=HRd/Ncfsa)	L= בָּ/עַ֔יר ¦ ;	H5857G	H5892B_a		H9003=ב=in/{H5857G=עַי=Ai»Ai@Gen.12.8-Isa}					
Jos.9.7#01=Q(K)	וַ/יֹּ֥אמֶר	va/i.yo.me.ru	and/ he said	H9001/{H0559}	Hc/Vqw3ms	K= va/i.yo.me.ru (וַ/יֹּאמְרוּ) "and/ they said" (H9001/H0559=Hc/Vqw3mp)	L= וַ/יֹּ֥אמֶרו ¦ ;	H0559			H9001=ו=&/{H0559=אָמַר=to say}					
Jos.15.4#06=Q(K)	וְ/הָי֛וּ	ve./ha.yah	and/ they are	H9001/{H1961}	Hc/Vqq3cp	K= ve./ha.yah (וְ/הָיָה) "and/ it is" (H9001/H1961=Hc/Vqq3ms)	L= וְ/הָיֻ֛ה ¦ ;	H1961_A			H9001=ו=&/{H1961=הָיָה=to be}					
