book,chapter,verse,word_index,Qere,Ketiv,Strongs Q,Parsing Q,Strongs K,Parsing K
Gen,24,33,1,וַ/יּוּשַׂ֤ם,"K= va/i.yi.sem (וַ/יֻּישַׂ֤ם) ""and/ it was put"" (H9001/H3455=Hc/Vqw3ms)",H7760H,VHw3ms,H3455,Vqw3ms
Gen,27,3,11,צָֽיִד\׃,"K= tzei.dah (צֵידָה\׃) ""food"" (H6720\H9016=HNcbsa)",H6718A H9016,HNcmsa,H6720 H9016,HNcbsa
Gen,30,11,3,בָּ֣א//גָ֑ד,"K= be./gad (בְּ/גָד) ""with/ good fortune"" (H9003/H1409=HR/Ncfsa)",H0935G  H1409,HVqp3ms  Ncmsa,H9003 H1409,HR Ncfsa
Gen,39,20,11,אֲסִירֵ֥י,"K= 'a.su.rei (אֲסוּרֵי) ""[those] imprisoned of"" (H0631=HVqsmpc)",H0615,HNcmpc,H0631,HVqsmpc
Exo,4,2,4,מַה/־/זֶּ֣ה,"K= ma.//zeh (מַ//זֶּה) ""what// [is] this?"" ({H4100}//H2088=HPi//Tm)",H4100 H9014 H2088,HPi  Tm,{H4100}  H2088,HPi  Tm
Exo,21,8,6,ל֥/וֹ,"K= lo' (לֹא) ""not"" (H3808=HTn)",H9005 H9033,HRd Sp3ms,H3808,HTn
Exo,37,8,15,קְצוֹתָֽי/ו\׃,"K= kitz.vo.to/v (קִצְווֹת/וֹ\׃) ""end/ its"" (H7117/H9023\H9016=HNcfsc/Sp3ms)",H7098 H9023 H9016,HNcfpc Sp3ms,H7117 H9023 H9016,HNcfsc Sp3ms
Exo,39,4,7,קְצוֹתָ֖י/ו,"K= kitz.vo.to/v (קִצְווֹת/וֹ) ""end/ its"" (H7117/H9023=HNcfsc/Sp3ms)",H7098 H9023,HNcfpc Sp3ms,H7117 H9023,HNcfsc Sp3ms
Lev,11,21,12,ל֤/וֹ,"K= lo' (לֹא) ""not"" (H3808=HTn)",H9005 H9033,HRd Sp3ms,H3808,HTn
Lev,25,30,14,ל֣/וֹ,"K= lo' (לֹא) ""not"" (H3808=HTn)",H9005 H9033,HRd Sp3ms,H3808,HTn
Num,1,16,2,קְרוּאֵ֣י,"K= ke.ri.'ei (קְרִיאֵי) ""[were the people] called"" (H7148=HTn)",H7121G,HVqsmpc,H7148,HTn
Num,23,13,4,לְכָ/ה,"K= le.kha (לְךָ) ""come"" (H1980H=HVqv2ms)",H1980H H9012,HVqv2ms Sh,H1980H,HVqv2ms
