book,chapter,verse,type
1Ch,2,55,k
1Ch,4,7,K
1Ch,6,26,K
1Ch,7,34,k
1Ch,9,33,K
1Ch,11,11,K
1Ch,11,20,K
1Ch,12,5,k
1Ch,12,15,K
1Ch,12,18,K
1Ch,22,7,K
1Ch,25,1,K
1Ch,26,25,K
1Ch,27,12,K
1Ch,29,16,k
1Ki,1,27,k
1Ki,1,37,k
1Ki,1,47,K
1Ki,4,7,k
1Ki,5,3,K
1Ki,6,5,k
1Ki,6,6,k
1Ki,6,10,k
1Ki,6,21,K
1Ki,6,38,k
1Ki,7,20,k
1Ki,7,23,K
1Ki,7,36,k
1Ki,7,45,K
1Ki,8,26,k
1Ki,8,48,k
1Ki,9,9,k
1Ki,9,18,K
1Ki,10,5,k
1Ki,12,3,k
1Ki,12,7,k
1Ki,12,21,k
1Ki,12,33,K
1Ki,14,2,K
1Ki,15,15,K
1Ki,15,18,k
1Ki,16,19,k
1Ki,16,26,k
1Ki,17,15,k
1Ki,18,36,k
1Ki,18,42,k
1Ki,21,8,k
1Ki,22,13,k
1Ki,22,48,kK
1Sa,2,3,K
1Sa,2,9,k
1Sa,2,10,k
1Sa,2,16,K
1Sa,3,2,k
1Sa,3,18,k
1Sa,4,13,K
1Sa,5,6,K
1Sa,5,9,K
1Sa,5,12,K
1Sa,6,4,K
1Sa,6,5,K
1Sa,7,9,K
1Sa,8,3,k
1Sa,9,1,K
1Sa,9,26,K
1Sa,10,21,k
1Sa,11,6,K
1Sa,11,9,K
1Sa,12,10,k
1Sa,13,8,k
1Sa,13,19,k
1Sa,14,27,K
1Sa,14,32,kK
1Sa,15,16,k
1Sa,17,7,K
1Sa,17,23,K
1Sa,18,7,k
1Sa,18,9,K
1Sa,18,14,k
1Sa,18,22,k
1Sa,20,2,kK
1Sa,20,24,K
1Sa,20,38,K
1Sa,21,11,k
1Sa,22,17,K
1Sa,23,5,k
1Sa,24,4,k
1Sa,24,8,K
1Sa,24,18,K
1Sa,25,3,K
1Sa,26,5,k
1Sa,26,7,kK
1Sa,26,11,k
1Sa,26,16,k
1Sa,26,22,k
1Sa,27,4,k
1Sa,27,8,k
1Sa,29,5,K
1Sa,30,6,k
2Ch,3,17,K
2Ch,8,10,K
2Ch,11,18,K
2Ch,18,33,k
2Ch,24,27,K
2Ch,25,17,K
2Ch,29,8,K
2Ch,32,21,K
2Ch,33,16,K
2Ch,34,5,K
2Ch,34,6,K
2Ch,34,9,K
2Ch,34,25,k
2Ch,35,3,K
2Ch,35,4,k
2Ch,36,14,K
2Ki,3,24,K
2Ki,4,7,k
2Ki,4,16,K
2Ki,4,23,K
2Ki,4,34,k
2Ki,5,9,k
2Ki,5,12,K
2Ki,5,18,K
2Ki,5,25,K
2Ki,6,10,K
2Ki,6,25,K
2Ki,7,12,K
2Ki,7,13,k
2Ki,7,15,K
2Ki,8,1,K
2Ki,8,10,K
2Ki,8,17,k
2Ki,9,25,K
2Ki,9,33,K
2Ki,10,27,K
2Ki,11,1,k
2Ki,11,2,k
2Ki,11,18,k
2Ki,11,20,K
2Ki,12,9,K
2Ki,12,11,k
2Ki,14,6,k
2Ki,14,7,k
2Ki,14,12,k
2Ki,14,13,k
2Ki,15,25,k
2Ki,16,6,K
2Ki,16,15,K
2Ki,16,17,k
2Ki,16,18,k
2Ki,17,13,K
2Ki,17,16,k
2Ki,17,21,K
2Ki,17,31,K
2Ki,18,27,K
2Ki,19,23,kK
2Ki,19,31,K
2Ki,19,37,K
2Ki,20,4,K
2Ki,20,13,k
2Ki,20,18,k
2Ki,21,12,K
2Ki,22,5,K
2Ki,23,10,k
2Ki,23,33,K
2Ki,24,10,k
2Ki,24,14,k
2Ki,24,15,K
2Ki,25,17,k
2Sa,1,8,k
2Sa,1,11,k
2Sa,1,16,k
2Sa,2,23,k
2Sa,3,2,k
2Sa,3,12,k
2Sa,3,25,K
2Sa,5,2,k
2Sa,5,8,k
2Sa,5,24,K
2Sa,8,3,K
2Sa,10,9,K
2Sa,11,24,K
2Sa,12,9,K
2Sa,12,20,k
2Sa,12,22,k
2Sa,12,24,k
2Sa,12,31,k
2Sa,13,33,K
2Sa,13,34,k
2Sa,14,7,K
2Sa,14,22,K
2Sa,14,30,k
2Sa,15,8,K
2Sa,15,20,k
2Sa,15,28,K
2Sa,16,2,K
2Sa,16,8,k
2Sa,16,10,kK
2Sa,16,12,K
2Sa,16,18,K
2Sa,16,23,K
2Sa,18,3,K
2Sa,18,8,k
2Sa,18,13,K
2Sa,18,17,K
2Sa,18,18,k
2Sa,18,20,K
2Sa,19,6,K
2Sa,19,18,k
2Sa,19,31,K
2Sa,19,40,k
2Sa,20,5,K
2Sa,20,14,K
2Sa,20,23,K
2Sa,20,25,K
2Sa,21,4,K
2Sa,21,6,k
2Sa,21,9,K
2Sa,21,12,kK
2Sa,21,20,K
2Sa,22,8,k
2Sa,22,15,K
2Sa,22,23,k
2Sa,22,33,K
2Sa,22,34,K
2Sa,22,51,K
2Sa,23,8,K
2Sa,23,9,k
2Sa,23,13,K
2Sa,23,18,K
2Sa,23,20,K
2Sa,23,21,K
2Sa,23,37,k
2Sa,24,14,k
2Sa,24,22,k
Amo,8,4,K
Amo,8,8,K
Amo,9,6,k
Dan,1,4,k
Dan,2,4,k
Dan,2,5,K
Dan,2,9,k
Dan,2,10,K
Dan,2,33,K
Dan,2,38,K
Dan,2,41,K
Dan,2,42,K
Dan,2,43,k
Dan,3,12,k
Dan,3,18,k
Dan,3,19,k
Dan,3,28,k
Dan,3,29,K
Dan,4,7,K
Dan,4,12,k
Dan,4,27,k
Dan,5,5,k
Dan,5,7,K
Dan,5,8,K
Dan,5,21,k
Dan,5,31,K
Dan,7,5,k
Dan,7,7,k
Dan,7,8,kK
Dan,7,19,kK
Dan,7,20,k
Dan,8,11,k
Dan,9,5,k
Dan,9,12,k
Dan,9,18,K
Dan,9,24,kK
Dan,11,10,k
Dan,11,12,k
Dan,11,18,K
Dan,11,39,k
Deu,2,33,k
Deu,5,10,K
Deu,7,9,k
Deu,8,2,k
Deu,13,15,k
Deu,21,7,k
Deu,27,10,k
Deu,28,27,K
Deu,28,30,K
Deu,33,2,K
Deu,33,9,k
Ecc,4,8,k
Ecc,5,1,k
Ecc,5,9,k
Ecc,5,11,K
Ecc,6,10,K
Ecc,7,22,K
Ecc,9,4,K
Ecc,10,3,K
Ecc,10,20,k
Ecc,12,6,K
Est,3,4,K
Est,8,13,K
Est,9,27,k
Exo,4,2,K
Exo,16,2,k
Exo,16,7,k
Exo,21,8,K
Exo,22,5,k
Exo,27,11,k
Exo,28,28,k
Exo,32,17,k
Exo,32,19,k
Exo,35,11,k
Exo,37,8,K
Exo,39,4,K
Exo,39,33,k
Ezk,1,8,K
Ezk,3,15,K
Ezk,3,20,k
Ezk,4,6,K
Ezk,7,2,k
Ezk,7,21,K
Ezk,8,6,K
Ezk,9,5,kK
Ezk,9,11,K
Ezk,12,14,k
Ezk,14,4,K
Ezk,16,13,k
Ezk,16,20,k
Ezk,16,25,k
