book,chapter,verse,word_index,Qere,Ketiv,Strongs Q,Parsing Q,Strongs K,Parsing K
Gen,9,21,7,אָהֳלֽ/וֹ\׃,"K= 'o.ho.Lo/h (אָהֳלֹ/ה\׃) ""tent/ his"" (H0168G/H9023\H9016=HNcbsc/Sp3ms)",H0168G H9023 H9016,HNcmsc Sp3ms,H0168G H9023 H9016,HNcbsc Sp3ms
Gen,12,8,8,אָהְָל֑/וֹ,"K= 'o.ho.Lo/h (אָהֳלֹ/ה) ""tent/ his"" (H0168G/H9023=HNcbsc/Sp3ms)",H0168G H9023,HNcmsc Sp3ms,H0168G H9023,HNcbsc Sp3ms
Gen,13,3,12,אָֽהֳל/וֹ֙,"K= 'o.ho.lo/h (אָהֳלֹ/ה) ""tent/ his"" (H0168G/H9023=HNcbsc/Sp3ms)",H0168G H9023,HNcmsc Sp3ms,H0168G H9023,HNcbsc Sp3ms
Gen,27,29,3,וְ/יִֽשְׁתַּחֲו֤וּ,"K= ve./yish.ta.chu (וְ/יִשְׁתַּחוּ) ""and/ may it bow down"" (H9002/H7812=HC/Vvu3ms)",H7812,Vvu3mp,H7812,Vvu3ms
Gen,35,21,4,אָֽהֳל֔/וֹ,"K= 'o.ho.Lo/h (אָהֳלֹ/ה) ""tent/ his"" (H0168G/H9023=HNcbsc/Sp3ms)",H0168G H9023,HNcmsc Sp3ms,H0168G H9023,HNcbsc Sp3ms
Gen,43,28,8,וַ/יִּֽשְׁתַּחֲוּֽוּ\׃,"K= va/i.yish.ta.chu (וַ/יִּשְׁתַּחוּ\׃) ""and/ he bowed down"" (H9001/H7812\H9016=Hc/Vvw3ms)",H7812 H9016,Vvw3mp,H7812 H9016,Vvw3ms
Gen,49,11,3,עִיר֔/וֹ,"K= i.ro/h (עִירֹ/ה) ""donkey/ his"" (H5895/H9023=HNcbsc/Sp3ms)",H5895 H9023,HNcmsc Sp3ms,H5895 H9023,HNcbsc Sp3ms
Gen,49,11,12,סוּתֽ/וֹ\׃,"K= su.to/h (סוּתֹ/ה\׃) ""robe/ his"" (H5497/H9023\H9016=HNcbsc/Sp3ms)",H5497 H9023 H9016,HNcmsc Sp3ms,H5497 H9023 H9016,HNcbsc Sp3ms
Exo,16,2,1,וַ/יִּלּ֜וֹנוּ,"K= va/i.yi.li.nu (וַ/יַּלִּינוּ) ""and/ they caused to grumble"" (H9001/H3885B=Hc/Vhw3mp)",H3885B,VNw3mp,H3885B,Vhw3mp
Exo,16,7,14,תַלִּ֖ינוּ,"K= ta.lo.nu (תִלּוֹנוּ) ""you will grumble"" (H3885B=HVqi2mp)",H3885B,HVhi2mp,H3885B,HVqi2mp
Exo,22,5,9,בְּעִיר֔/וֹ,"K= be.'i.ra/h (בְּעִירֹ/ה) ""cattle/ his"" (H1165/H9023=HNcbsc/Sp3ms)",H1165 H9023,HNcmsc Sp3ms,H1165 H9023,HNcbsc Sp3ms
