book_name,chapter,verse,text,normalization
Genesis,1,5,"And he called the light Day, and the darkness Night; and there was evening and morning one day.","[""God called the light 'Day'."", ""God called the darkness 'Night'."", ""There was evening."", ""There was morning."", ""The evening and the morning constituted one day.""]"
Genesis,1,2,"And the earth was void and empty, and darkness was upon the face of the deep; and the spirit of God moved over the waters.","[""The earth was void."", ""The earth was empty."", ""Darkness was upon the face of the deep."", ""The spirit of God moved over the waters.""]"
Genesis,1,1,"In the beginning God created heaven, and earth.","[""In the beginning, God created heaven."", ""In the beginning, God created earth.""]"
Genesis,1,4,And God saw the light that it was good; and he divided the light from the darkness.,"[""God saw the light."", ""God considered the light to be good."", ""God divided the light."", ""God divided the darkness."", ""The light and the darkness were separated by God.""]"
Genesis,1,7,"And God made a firmament, and divided the waters that were under the firmament, from those that were above the firmament, and it was so.","[""God made a firmament."", ""God divided the waters."", ""Some waters were under the firmament."", ""Some waters were above the firmament."", ""The division of waters happened as God intended.""]"
Genesis,1,6,And God said: Let there be a firmament made amidst the waters: and let it divide the waters from the waters.,"[""God spoke."", ""God commanded that a firmament be made amidst the waters."", ""God commanded that the firmament divide the waters from the waters.""]"
Genesis,1,8,"And God called the firmament, Heaven; and the evening and morning were the second day.","[""God named the firmament Heaven."", ""The evening and the morning were the second day.""]"
Genesis,1,3,And God said: Be light made. And light was made.,"[""God said a command."", ""God commanded that light should be made."", ""Light was made.""]"
Genesis,1,10,"And God called the dry land, Earth; and the gathering together of the waters, he called Seas. And God saw that it was good.","[""God named the dry land Earth."", ""God named the gathering together of the waters Seas."", ""God saw that it was good.""]"
Genesis,1,9,"God also said; Let the waters that are under the heaven, be gathered together into one place: and let the dry land appear. And it was so done.","[""God spoke."", ""God commanded that the waters under the heaven should be gathered together into one place."", ""God commanded that the dry land should appear."", ""The waters under the heaven were gathered together into one place."", ""The dry land appeared.""]"
Genesis,1,13,And the evening and the morning were the third day.,"[""The evening occurred."", ""The morning occurred."", ""The evening and the morning together constituted the third day.""]"
Genesis,1,11,"And he said: let the earth bring forth green herb, and such as may seed, and the fruit tree yielding fruit after its kind, which may have seed in itself upon the earth. And it was so done.","[""God commanded the earth."", ""God commanded that the earth should bring forth green herb."", ""God commanded that the earth should bring forth herb that may seed."", ""God commanded that the earth should bring forth fruit trees."", ""God commanded that the fruit trees should yield fruit after its kind."", ""God commanded that the fruit trees should have seed in itself."", ""God commanded that the fruit trees should be upon the earth."", ""It was done as God commanded.""]"
Genesis,1,12,"And the earth brought forth the green herb, and such as yieldeth seed according to its kind, and the tree that beareth fruit, having seed each one according to its kind. And God saw that it was good.","[""The earth brought forth the green herb."", ""The green herb yields seed according to its kind."", ""The earth brought forth the tree that bears fruit."", ""The tree has seed in itself."", ""Each tree bears fruit according to its kind."", ""God saw that it was good.""]"
Genesis,1,14,"And God said: Let there be lights made in the firmament of heaven, to divide the day and the night, and let them be for signs, and for seasons, and for days and years:","[""God said a command."", ""God commanded that lights should be made in the firmament of heaven."", ""God commanded that the lights should divide the day and the night."", ""God commanded that the lights should be for signs."", ""God commanded that the lights should be for seasons."", ""God commanded that the lights should be for days."", ""God commanded that the lights should be for years.""]"
Genesis,1,15,"To shine in the firmament of heaven, and to give light upon the earth, and it was so done.","[""The lights shine in the firmament of heaven."", ""The lights give light upon the earth."", ""It was done.""]"
Genesis,1,16,And God made two great lights: a greater light to rule the day; and a lesser light to rule the night: and The stars.,"[""God made two great lights."", ""God made a greater light to rule the day."", ""God made a lesser light to rule the night."", ""God made the stars.""]"
Genesis,1,17,And he set them in the firmament of heaven to shine upon the earth.,"[""God placed the lights in the firmament of heaven."", ""The purpose of the lights is to shine upon the earth.""]"
Genesis,1,18,"And to rule the day and the night, and to divide the light and the darkness. And God saw that it was good.","[""God appointed the sun and moon to govern the day."", ""God appointed the sun and moon to govern the night."", ""God appointed the sun and moon to separate the light."", ""God appointed the sun and moon to separate the darkness."", ""God observed the separation of light and darkness."", ""God considered the separation of light and darkness to be good.""]"
Genesis,1,19,And the evening and morning were the fourth day.,"[""The evening occurred."", ""The morning occurred."", ""The evening and morning together constituted the fourth day.""]"
Genesis,1,20,"God also said: let the waters bring forth the creeping creature having life, and the fowl that may fly over the earth under the firmament of heaven.","[""God said a command."", ""God commanded that the waters should bring forth creeping creatures having life."", ""God commanded that the waters should bring forth fowl."", ""The fowl may fly over the earth."", ""The fowl may fly under the firmament of heaven.""]"
Genesis,1,23,And the evening and morning were the fifth day.,"[""The evening occurred."", ""The morning occurred."", ""The evening and the morning together constituted the fifth day.""]"
Genesis,1,22,"And he blessed them, saying: Increase and multiply, and fill the waters of the sea: and let the birds be multiplied upon the earth.","[""God blessed them."", ""God said a command."", ""God commanded them to increase."", ""God commanded them to multiply."", ""God commanded them to fill the waters of the sea."", ""God commanded the birds to be multiplied upon the earth.""]"
Genesis,1,21,"And God created the great whales, and every living and moving creature, which the waters brought forth, according to their kinds, and every winged fowl according to its kind. And God saw that it was good.","[""God created the great whales."", ""God created every living creature that moves."", ""The waters brought forth every living creature that moves."", ""God created every living and moving creature according to its kind."", ""God created every winged fowl according to its kind."", ""God saw that what he created was good.""]"
Genesis,1,24,"And God said: Let the earth bring forth the living creature in its kind, cattle and creeping things, and beasts of the earth, according to their kinds. And it was so done.","[""God spoke."", ""God commanded the earth to bring forth living creatures according to their kinds."", ""God commanded the earth to bring forth cattle according to their kinds."", ""God commanded the earth to bring forth creeping things according to their kinds."", ""God commanded the earth to bring forth beasts of the earth according to their kinds."", ""The earth brought forth living creatures according to their kinds."", ""The earth brought forth cattle according to their kinds."", ""The earth brought forth creeping things according to their kinds."", ""The earth brought forth beasts of the earth according to their kinds.""]"
Genesis,1,25,"And God made the beasts of the earth according to their kinds, and cattle, and every thing that creepeth on the earth after its kind. And God saw that it was good.","[""God made the beasts of the earth according to their kinds."", ""God made cattle."", ""God made everything that creeps on the earth after its kind."", ""God saw that it was good.""]"
Genesis,1,26,"And he said: Let us make man to our image and likeness: and let him have dominion over the fishes of the sea, and the fowls of the air, and the beasts, and the whole earth, and every creeping creature that moveth upon the earth.","[""God said a command."", ""God commanded that they make man."", ""God commanded that they make man to their image."", ""God commanded that they make man to their likeness."", ""God commanded that man have dominion over the fishes of the sea."", ""God commanded that man have dominion over the fowls of the air."", ""God commanded that man have dominion over the beasts."", ""God commanded that man have dominion over the whole earth."", ""God commanded that man have dominion over every creeping creature that moves upon the earth.""]"
Genesis,1,27,And God created man to his own image: to the image of God he created him: male and female he created them.,"[""God created man."", ""God created man according to his own image."", ""God created man according to the image of God."", ""God created man as male."", ""God created man as female.""]"
Genesis,1,28,"And God blessed them, saying: Increase and multiply, and fill the earth, and subdue it, and rule over the fishes of the sea, and the fowls of the air, and all living creatures that move upon the earth.","[""God blessed them."", ""God said a command."", ""God commanded them to increase."", ""God commanded them to multiply."", ""God commanded them to fill the earth."", ""God commanded them to subdue the earth."", ""God commanded them to rule over the fishes of the sea."", ""God commanded them to rule over the fowls of the air."", ""God commanded them to rule over all living creatures that move upon the earth.""]"
Genesis,1,31,"And God saw all the things that he had made, and they were very good. And the evening and morning were the sixth day.","[""God saw all the things that he had made."", ""All the things that God had made were very good."", ""The evening and the morning were the sixth day.""]"
Genesis,2,1,"So the heavens and the earth were finished, and all the furniture of them.","[""The heavens were finished."", ""The earth was finished."", ""All the furniture of the heavens and the earth was finished.""]"
Genesis,1,30,"And to all beasts of the earth, and to every fowl of the air, and to all that move upon the earth, and wherein there is life, that they may have to feed upon. And it was so done.","[""God gave all green herbs for food to all beasts of the earth."", ""God gave all green herbs for food to every fowl of the air."", ""God gave all green herbs for food to all that move upon the earth."", ""God gave all green herbs for food to all that have life."", ""This was done.""]"
Genesis,1,29,"And God said: Behold I have given you every herb bearing seed upon the earth, and all trees that have in themselves seed of their own kind, to be your meat:","[""God spoke."", ""God said: \""Behold!\"""", ""God said: \""I have given you every herb bearing seed upon the earth.\"""", ""God said: \""I have given you all trees that have in themselves seed of their own kind.\"""", ""God said that the herbs and trees will be your food.""]"
Genesis,2,2,And on the seventh day God ended his work which he had made: and he rested on the seventh day from all his work which he had done.,"[""On the seventh day, God ended his work."", ""God had made the work."", ""On the seventh day, God rested."", ""God rested from all his work."", ""God had done all his work.""]"
Genesis,2,3,"And he blessed the seventh day, and sanctified it: because in it he had rested from all his work which God created and made.","[""God blessed the seventh day."", ""God sanctified the seventh day."", ""God rested on the seventh day from all his work."", ""God created all his work."", ""God made all his work.""]"
Genesis,2,4,"These are the generations of the heaven and the earth, when they were created, in the day that the Lord God made the heaven and the earth:","[""These are the generations of the heaven and the earth."", ""The heaven and the earth were created."", ""The heaven and the earth were created in a day."", ""The Lord God made the heaven."", ""The Lord God made the earth.""]"
Genesis,2,6,"But a spring rose out of the earth, watering all the surface of the earth.","[""A spring rose out of the earth."", ""The spring watered all the surface of the earth.""]"
Genesis,2,5,"And every plant of the field before it sprung up in the earth, and every herb of the ground before it grew: for the Lord God had not rained upon the earth; and there was not a man to till the earth.","[""Every plant of the field did not spring up in the earth yet."", ""Every herb of the ground did not grow yet."", ""The Lord God had not rained upon the earth."", ""There was not a man to till the earth.""]"
Genesis,2,7,"And the Lord God formed man of the slime of the earth: and breathed into his face the breath of life, and man became a living soul.","[""The Lord God formed man of the slime of the earth."", ""The Lord God breathed into man's face the breath of life."", ""Man became a living soul.""]"
Genesis,2,8,And the Lord God had planted a paradise of pleasure from the beginning: wherein he placed man whom he had formed.,"[""The Lord God had planted a paradise of pleasure from the beginning."", ""The Lord God placed man in the paradise of pleasure."", ""The Lord God had formed the man.""]"
Genesis,2,11,"The name of the one is Phison: that is it which compasseth all the land of Hevilath, where gold groweth.","[""The name of one river is Phison."", ""The Phison river compasseth all the land of Hevilath."", ""Gold groweth in the land of Hevilath.""]"
Genesis,2,9,"And the Lord God brought forth of the ground all manner of trees, fair to behold, and pleasant to eat of: the tree of life also in the midst of paradise: and the tree of knowledge of good and evil.","[""The Lord God caused all manner of trees to grow from the ground."", ""All manner of trees were fair to behold."", ""All manner of trees were pleasant to eat."", ""The tree of life was in the midst of paradise."", ""The tree of the knowledge of good and evil was in the midst of paradise.""]"
Genesis,2,10,"And a river went out of the place of pleasure to water paradise, which from thence is divided into four heads.","[""A river went out of the place of pleasure."", ""The river's purpose was to water paradise."", ""The river divided into four heads from paradise.""]"
Genesis,2,12,"And the gold of that land is very good: there is found bdellium, and the onyx stone.","[""The gold of that land is very good."", ""Bdellium is found in that land."", ""Onyx stone is found in that land.""]"
Genesis,2,14,And the name of the third river is Tigris: the same passeth along by the Assyrians. And the fourth river is Euphrates.,"[""The name of the third river is Tigris."", ""The Tigris river flows by Assyria."", ""The name of the fourth river is Euphrates.""]"
Genesis,2,13,And the name of the second river is Gehon: the same is it that compasseth all the land of Ethiopia.,"[""The name of the second river is Gehon."", ""The river Gehon compasseth all the land of Ethiopia.""]"
Genesis,2,15,"And the Lord God took man, and put him into the paradise of pleasure, to dress it, and to keep it.","[""The Lord God took the man."", ""The Lord God put the man into the paradise of pleasure."", ""The Lord God put the man into the paradise of pleasure to dress it."", ""The Lord God put the man into the paradise of pleasure to keep it.""]"
Genesis,2,16,"And he commanded him, saying: Of every tree of paradise thou shalt eat:","[""Someone commanded someone."", ""The one who commanded said the following."", ""You shall eat of every tree of paradise.""]"
Genesis,2,17,"But of the tree of knowledge of good and evil, thou shalt not eat. For in what day soever thou shalt eat of it, thou shalt die the death.","[""God commanded Adam not to eat of the tree of knowledge of good and evil."", ""God said that if Adam ate of the tree of knowledge of good and evil, Adam would die."", ""The day Adam eats of the tree of knowledge of good and evil is the day Adam will die.""]"
Genesis,2,19,"And the Lord God having formed out of the ground all the beasts of the earth, and all the fowls of the air, brought them to Adam to see what he would call them: for whatsoever Adam called any living creature the same is its name.","[""The Lord God formed all the beasts of the earth out of the ground."", ""The Lord God formed all the fowls of the air out of the ground."", ""The Lord God brought all the beasts of the earth and all the fowls of the air to Adam."", ""The Lord God brought the beasts and fowls to Adam to see what Adam would call them."", ""Whatever Adam called any living creature, the same is its name.""]"
Genesis,2,21,"Then the Lord God cast a deep sleep upon Adam: and when he was fast asleep, he took one of his ribs, and filled up flesh for it.","[""The Lord God cast a deep sleep upon Adam."", ""Adam was fast asleep."", ""The Lord God took one of Adam's ribs."", ""The Lord God filled up the space where the rib was with flesh.""]"
Genesis,2,20,"And Adam called all the beasts by their names, and all the fowls of the air, and all the cattle of the field: but for Adam there was not found a helper like himself.","[""Adam called all the beasts by their names."", ""Adam called all the fowls of the air by their names."", ""Adam called all the cattle of the field by their names."", ""A helper like Adam was not found for Adam.""]"
Genesis,2,18,And the Lord God said: It is not good for man to be alone: let us make him a help like unto himself.,"[""The Lord God spoke."", ""The Lord God asserted that it is not good for man to be alone."", ""The Lord God issued a command."", ""The Lord God commanded that they should make a help for man."", ""The Lord God commanded that the help should be like man.""]"
Genesis,2,22,And the Lord God built the rib which he took from Adam into a woman: and brought her to Adam.,"[""The Lord God built the rib into a woman."", ""The Lord God took the rib from Adam."", ""The Lord God brought the woman to Adam.""]"
Genesis,2,25,"And they were both naked: to wit, Adam and his wife: and were not ashamed.","[""Adam was naked."", ""Adam's wife was naked."", ""Adam and his wife were not ashamed.""]"
Genesis,3,2,"And the woman answered him, saying: Of the fruit of the trees that are in paradise we do eat:","[""The woman answered him."", ""The woman spoke."", ""The woman said that they eat of the fruit of the trees."", ""The woman said that the trees are in paradise.""]"
Genesis,2,23,"And Adam said: This now is bone of my bones, and flesh of my flesh; she shall be called woman, because she was taken out of man.","[""Adam spoke."", ""Adam said: This is bone of my bones."", ""Adam said: This is flesh of my flesh."", ""Adam said: She shall be called woman."", ""Adam said: She was taken out of man.""]"
Genesis,2,24,"Wherefore a man shall leave father and mother, and shall cleave to his wife: and they shall be two in one flesh.","[""A man shall leave his father."", ""A man shall leave his mother."", ""A man shall cleave to his wife."", ""The man and his wife shall be two in one flesh.""]"
Genesis,3,1,"Now the serpent was more subtle than any of the beasts of the earth which the Lord God had made. And he said to the woman: Why hath God commanded you, that you should not eat of every tree of paradise?","[""The serpent was more subtle than any of the beasts of the earth."", ""The Lord God had made the beasts of the earth."", ""The serpent said something to the woman."", ""The serpent asked the woman why God had commanded them."", ""The serpent asked if God had commanded them not to eat of every tree of paradise.""]"
Genesis,3,5,"For God doth know that in what day soever you shall eat thereof, your eyes shall be opened: and you shall be as Gods, knowing good and evil.","[""The serpent said that God knows something."", ""The serpent said that on the day that they eat of the fruit, their eyes will be opened."", ""The serpent said that on the day that they eat of the fruit, they will be like Gods."", ""The serpent said that on the day that they eat of the fruit, they will know good and evil.""]"
Genesis,3,4,"And the serpent said to the woman: No, you shall not die the death.","[""The serpent spoke to the woman."", ""The serpent asserted that the woman would not die."", ""The serpent said, 'You shall not die.'""]"
Genesis,3,3,"But of the fruit of the tree which is in the midst of paradise, God hath commanded us that we should not eat; and that we should not touch it, lest perhaps we die.","[""Eve is speaking."", ""Eve is speaking to the serpent."", ""Eve states that there is a tree in the midst of paradise."", ""Eve states that the tree bears fruit."", ""God commanded them not to eat the fruit of the tree."", ""God commanded them not to touch the fruit of the tree."", ""Eve states that if they eat or touch the fruit, they might die.""]"
Genesis,3,6,"And the woman saw that the tree was good to eat, and fair to the eyes, and delightful to behold: and she took of the fruit thereof, and did eat, and gave to her husband, who did eat.","[""The woman saw the tree."", ""The woman thought that the tree was good to eat."", ""The woman thought that the tree was fair to the eyes."", ""The woman thought that the tree was delightful to behold."", ""The woman took fruit from the tree."", ""The woman ate the fruit."", ""The woman gave fruit to her husband."", ""The woman's husband ate the fruit.""]"
Genesis,3,7,"And the eyes of them both were opened: and when they perceived themselves to be naked, they sewed together fig leaves, and made themselves aprons.","[""The eyes of the man and the woman were opened."", ""The man and the woman perceived that they were naked."", ""The man and the woman sewed together fig leaves."", ""The man and the woman made themselves aprons.""]"
Genesis,3,8,"And when they heard the voice of the Lord God walking in paradise at the afternoon air, Adam and his wife hid themselves from the face of the Lord God, amidst the trees of paradise.","[""Adam and his wife heard the voice of the Lord God."", ""The Lord God was walking in paradise."", ""The time was the afternoon air."", ""Adam and his wife hid themselves."", ""Adam and his wife hid from the face of the Lord God."", ""Adam and his wife hid amidst the trees of paradise.""]"
Genesis,3,9,"And the Lord God called Adam, and said to him: Where art thou?","[""The Lord God called Adam."", ""The Lord God spoke to Adam."", ""The Lord God asked Adam where he was.""]"
Genesis,3,10,"And he said: I heard thy voice in paradise; and I was afraid, because I was naked, and I hid myself.","[""The man said: I heard God's voice in paradise."", ""The man said: I was afraid."", ""The man said: The reason I was afraid is because I was naked."", ""The man said: I hid myself.""]"
Genesis,3,11,"And he said to him: And who hath told thee that thou wast naked, but that thou hast eaten of the tree whereof I commanded thee that thou shouldst not eat?","[""God spoke to Adam."", ""God asked Adam who told him that he was naked."", ""God asked Adam if he had eaten from the tree."", ""God commanded Adam not to eat from that tree.""]"
Genesis,3,12,"And Adam said: The woman, whom thou gavest me to be my companion, gave me of the tree, and I did eat.","[""Adam spoke."", ""Adam said that God gave him the woman."", ""Adam said the woman was to be his companion."", ""Adam said that the woman gave him fruit from the tree."", ""Adam said that he ate the fruit.""]"
Genesis,3,15,"I will put enmities between thee and the woman, and thy seed and her seed: she shall cursh thy head, and thou shalt lie in wait for her heel.","[""God states that He will put enmities between the serpent and the woman."", ""God states that He will put enmities between the serpent's seed and the woman's seed."", ""God states that the woman's seed will crush the serpent's head."", ""God states that the serpent will lie in wait for the woman's seed's heel.""]"
Genesis,3,16,"To the woman also he said: I will multiply thy sorrows, and thy conceptions: in sorrow shalt thou bring forth children, and thou shalt be under thy husband's power, and he shall have dominion over thee.","[""God spoke to the woman."", ""God said that he will multiply the woman's sorrows."", ""God said that he will multiply the woman's conceptions."", ""God said that the woman will bring forth children in sorrow."", ""God said that the woman will be under her husband's power."", ""God said that her husband will have dominion over her.""]"
Genesis,3,13,"And the Lord God said to the woman: Why hast thou done this? And she answered: The serpent deceived me, and I did eat.","[""The Lord God spoke to the woman."", ""The Lord God asked the woman why she had done something."", ""The woman answered the Lord God."", ""The woman said that the serpent deceived her."", ""The woman said that she ate something.""]"
Genesis,3,14,"And the Lord God said to the serpent: Because thou hast done this thing, thou art cursed among all cattle, and beasts of the earth: upon thy breast shalt thou go, and earth shalt thou eat all the days of thy life.","[""The Lord God spoke to the serpent."", ""The Lord God said that the serpent did something."", ""The Lord God said that because the serpent did something, the serpent is cursed."", ""The Lord God said that the serpent is cursed among all cattle."", ""The Lord God said that the serpent is cursed among all beasts of the earth."", ""The Lord God commanded that the serpent shall go upon its breast."", ""The Lord God commanded that the serpent shall eat earth all the days of its life.""]"
Genesis,3,17,"And to Adam he said: Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, whereof I commanded thee, that thou shouldst not eat, cursed is the earth in thy work: with labour and toil shalt thou eat thereof all the days of thy life.","[""God spoke to Adam."", ""God said that Adam hearkened to the voice of his wife."", ""God said that Adam ate from the tree."", ""God commanded Adam that he should not eat from the tree."", ""God said that the earth is cursed in Adam's work."", ""God said that Adam shall eat from the earth with labor and toil."", ""God said that Adam shall eat from the earth all the days of his life.""]"
Genesis,3,18,"Thorns and thistles shall it bring forth to thee, and thou shalt eat the herbs of the earth.","[""The ground will bring forth thorns to the man."", ""The ground will bring forth thistles to the man."", ""The man will eat the herbs of the earth.""]"
Genesis,3,20,And Adam called the name of his wife Eve: because she was the mother of all the living.,"[""Adam named his wife Eve."", ""The reason Adam named his wife Eve is that she was the mother of all the living.""]"
Genesis,3,19,"In the sweat of thy face shalt thou eat bread till thou return to the earth out of which thou wast taken: for dust thou art, and into dust thou shalt return.","[""God said that man will eat bread by the sweat of his face."", ""God said that man will eat bread until he returns to the earth."", ""God said that man was taken out of the earth."", ""God said that man is dust."", ""God said that man will return to dust.""]"
Genesis,3,21,"And the Lord God made for Adam and his wife garments of skins, and clothed them.","[""The Lord God made garments of skins for Adam."", ""The Lord God made garments of skins for Adam's wife."", ""The Lord God clothed Adam with the garments of skins."", ""The Lord God clothed Adam's wife with the garments of skins.""]"
Genesis,3,23,"And the Lord God sent him out of the paradise of pleasure, to till the earth from which he was taken.","[""The Lord God sent the man out of the paradise of pleasure."", ""The Lord God sent the man to till the earth."", ""The man was taken from the earth.""]"
Genesis,3,22,"And he said: Behold Adam is become as one of us, knowing good and evil: now therefore lest perhaps he put forth his hand and take also of the tree of life, and eat, and live for ever.","[""God said something."", ""God said that Adam has become like one of God and his heavenly court."", ""God said that Adam knows good and evil."", ""God expressed concern that Adam might put forth his hand."", ""God expressed concern that Adam might take from the tree of life."", ""God expressed concern that Adam might eat from the tree of life."", ""God expressed concern that Adam might live forever.""]"
Genesis,3,24,"And he cast out Adam: and placed before the paradise of pleasure Cherubims, and a flaming sword, turning every way, to keep the way of the tree of life.","[""God cast out Adam."", ""God placed Cherubim before the paradise of pleasure."", ""God placed a flaming sword before the paradise of pleasure."", ""The flaming sword turned every way."", ""The purpose of the Cherubim and the flaming sword was to guard the way to the tree of life.""]"
Genesis,4,2,"And again she brought forth his brother Abel. And Abel was a shepherd, and Cain a husbandman.","[""Eve brought forth Cain's brother."", ""Cain's brother's name was Abel."", ""Abel was a shepherd."", ""Cain was a husbandman.""]"
Genesis,4,1,"And Adam knew Eve his wife; who conceived and brought forth Cain, saying: I have gotten a man through God.","[""Adam knew Eve as his wife."", ""Eve conceived."", ""Eve brought forth Cain."", ""Eve said that she had gotten a man."", ""Eve said that she had gotten the man through God.""]"
Genesis,4,3,"And it came to pass after many days, that Cain offered, of the fruits of the earth, gifts to the Lord.","[""Many days passed."", ""Cain offered gifts to the Lord."", ""Cain's gifts came from the fruits of the earth.""]"
Genesis,4,6,And the Lord said to him: Why art thou angry? and why is thy countenance fallen?,"[""The Lord spoke to him."", ""The Lord asked him why he was angry."", ""The Lord asked him why his countenance was fallen.""]"
Genesis,4,4,"Abel also offered of the firstlings of his flock, and of their fat: and the Lord had respect to Abel, and to his offerings.","[""Abel offered some of the firstborn of his flock."", ""Abel offered some of the fat of his flock."", ""The Lord had respect for Abel."", ""The Lord had respect for Abel's offerings.""]"
Genesis,4,5,"But to Cain and his offerings he had no respect: and Cain was exceeding angry, and his countenance fell.","[""God had no respect for Cain."", ""God had no respect for Cain's offerings."", ""Cain was exceedingly angry."", ""Cain's countenance fell.""]"
Genesis,4,7,"If thou do well, shalt thou not receive? but if ill, shall not sin forthwith be present at the door? but the lust thereof shall be under thee, and thou shalt have dominion over it.","[""God said this to Cain."", ""God said that if Cain does well, Cain will receive honor."", ""God said that if Cain does not do well, sin will be present at the door."", ""God said that the lust of sin will be under Cain."", ""God said that Cain shall have dominion over the lust of sin.""]"
Genesis,4,8,"And Cain said to Abel his brother: Let us go forth abroad. And when they were in the field, Cain rose up against his brother Abel, and slew him.","[""Cain spoke to Abel."", ""Abel is Cain's brother."", ""Cain said to Abel a suggestion."", ""Cain suggested to Abel that they go forth abroad."", ""Cain and Abel were in the field."", ""Cain rose up against Abel."", ""Cain slew Abel.""]"
Genesis,4,10,And he said to him: What hast thou done? the voice of thy brother's blood crieth to me from the earth.,"[""God spoke to Cain."", ""God asked Cain what he had done."", ""God stated that Cain's brother's blood was crying to God from the earth."", ""The blood is acting as a voice.""]"
Genesis,4,9,And the Lord said to Cain: Where is thy brother Abel? And he answered: I know not: am I my brother's keeper?,"[""The Lord spoke to Cain."", ""The Lord asked Cain where Abel was."", ""Abel is Cain's brother."", ""Cain answered the Lord."", ""Cain said that he did not know where Abel was."", ""Cain asked if he was his brother's keeper.""]"
Genesis,4,11,"Now, therefore, cursed shalt thou be upon the earth, which hath opened her mouth and received the blood of thy brother at thy hand.","[""A speaker is cursing Cain."", ""Cain will be cursed on the earth."", ""The earth opened its mouth."", ""The earth received Abel's blood from Cain's hand."", ""Abel is Cain's brother.""]"
Genesis,4,12,"When thou shalt till it, it shall not yield to thee its fruit: a fugitive and a vagabond shalt thou be upon the earth.","[""God is speaking to Cain."", ""God said that when Cain tills the ground, it will not yield its fruit to Cain."", ""God said that Cain will be a fugitive on the earth."", ""God said that Cain will be a vagabond on the earth.""]"
Genesis,4,13,And Cain said to the Lord: My iniquity is greater than that I may deserve pardon.,"[""Cain spoke to the Lord."", ""Cain said that his iniquity is great."", ""Cain said that his iniquity is greater than he may deserve pardon.""]"
Genesis,4,16,"And Cain went out from the face of the Lord, and dwelt as a fugitive on the earth at the east side of Eden.","[""Cain went out from the presence of the Lord."", ""Cain dwelt on the earth as a fugitive."", ""Cain dwelt at the east side of Eden.""]"
Genesis,4,15,"And the Lord said to him: No, it shall not so be: but whosoever shall kill Cain, shall be punished sevenfold. And the Lord set a mark upon Cain, that whosoever found him should not kill him.","[""The Lord spoke to Cain."", ""The Lord said that it shall not be so."", ""The Lord said that whosoever shall kill Cain, shall be punished sevenfold."", ""The Lord set a mark upon Cain."", ""The purpose of the mark was that whosoever found Cain should not kill him.""]"
Genesis,4,14,"Behold thou dost cast me out this day from the face of the earth, and from thy face I shall be hid, and I shall be a vagabond and a fugitive on the earth: every one, therefore, that findeth me, shall kill me.","[""Cain said that God casts him out from the face of the earth this day."", ""Cain said that he will be hidden from God's face."", ""Cain said that he will be a vagabond on the earth."", ""Cain said that he will be a fugitive on the earth."", ""Cain said that everyone who finds him will kill him.""]"
Genesis,4,17,"And Cain knew his wife, and she conceived, and brought forth Henoch: and he built a city, and called the name thereof by the name of his son Henoch.","[""Cain had sexual relations with his wife."", ""Cain's wife conceived."", ""Cain's wife gave birth to Henoch."", ""Cain built a city."", ""Cain named the city Henoch, after the name of his son Henoch.""]"
